movieId,ratings
1,3.5
2,3
3,2.5
4,3.5
5,4
6,3
7,3
8,3.5
9,2.5
10,2.5
11,5
12,4.5
13,5
14,4.5
15,4
16,3.5
17,4.5
18,2.5
19,5
20,2.5
21,3.5
22,3
23,3.5
24,4
25,4.5
26,5
27,4
28,2.5
29,5
30,3.5
31,5
32,4
33,3.5
34,5
35,5
36,4.5
37,4.5
38,2.5
39,4.5
40,5
41,3
42,3.5
43,3.5
44,4
45,4
46,2.5
47,3
48,4
49,5
50,5
51,4.5
52,4
53,5
54,5
55,4
56,3.5
57,3
58,4.5
59,4.5
60,4.5
61,2.5
62,2.5
63,4
64,2.5
65,3.5
66,3
67,5
68,4
69,4
70,5
71,3
72,2.5
73,4.5
74,2.5
75,4.5
76,3.5
77,2.5
78,3
79,4
80,4.5
81,2.5
82,2.5
83,5
84,4
85,3
86,3
87,4.5
88,5
89,5
90,3.5
92,4.5
93,3.5
94,3
95,3
96,3.5
97,3
98,5
99,4
100,3
101,3
102,4.5
103,4.5
104,5
105,3
106,3.5
107,2.5
108,4
109,2.5
110,2.5
111,4
112,4
113,5
114,3
115,4
116,4.5
117,2.5
118,4
119,4
120,2.5
121,2.5
122,2.5
123,3.5
124,4.5
125,4.5
126,2.5
127,2.5
128,4.5
129,3
130,3
131,2.5
132,5
133,4.5
134,3.5
135,3.5
136,2.5
137,2.5
138,4
139,3.5
140,3
141,2.5
142,4.5
143,3
144,4.5
145,2.5
146,2.5
147,2.5
148,3
149,4.5
150,3.5
151,3.5
152,3.5
153,5
154,4
155,5
156,3.5
157,3
158,3.5
159,3.5
160,2.5
161,5
162,3
163,4.5
164,2.5
165,4.5
166,3
167,3.5
168,3.5
169,3
170,4
171,3
172,2.5
173,2.5
174,3.5
175,5
176,3
177,5
178,3
179,5
180,3
181,4.5
182,2.5
183,5
184,5
185,3
186,3
187,4.5
188,5
189,3.5
190,3.5
191,3.5
192,3.5
193,4
194,3.5
195,3.5
196,3.5
197,3.5
198,2.5
199,5
200,2.5
201,3
202,3
203,3
204,4.5
205,3.5
206,3.5
207,5
208,3.5
209,3.5
210,3.5
211,3.5
212,4
213,5
214,3.5
215,3.5
216,4
217,3.5
218,4
219,2.5
220,3.5
222,3.5
223,4.5
224,4
225,3.5
226,2.5
227,3.5
228,3
229,5
230,2.5
231,4
232,4.5
233,3.5
234,5
235,3.5
236,3
237,2.5
238,4.5
239,4
240,4.5
241,3.5
242,5
243,2.5
244,3.5
245,3.5
246,3
247,3
248,5
249,3.5
250,4.5
251,3
252,4
253,4.5
254,3
255,3.5
256,3.5
257,3
258,2.5
259,2.5
260,4
261,5
262,4
263,4
264,5
265,5
266,4
267,3.5
268,3
269,4.5
270,3
271,2.5
272,3.5
273,2.5
274,4
275,3
276,3
277,4.5
278,4
279,3.5
280,4
281,3.5
282,4
283,5
284,3.5
285,3.5
286,3
287,5
288,4
289,5
290,3
291,5
292,2.5
293,3.5
294,4.5
295,4
296,3.5
297,4
298,2.5
299,5
300,4.5
301,5
302,5
