movieId,tag
1,Mark Waters
2,dark hero
3,dark hero
4,noir thriller
5,dark hero
6,bollywood
7,screwball comedy
8,noir thriller
9,mars
10,neo-noir
11,jesus
12,noir thriller
13,jesus
14,dragon
15,conspiracy theory
16,mars
17,noir thriller
18,jesus
19,jesus
20,bollywood
21,treasure
22,dark hero
23,noir thriller
24,jesus
25,stranded
26,conspiracy theory
27,Oscar (Best Foreign Language Film)
28,New Zealand
29,surreal
30,unusual
31,bollywood
32,cute
33,emotional
34,girls who play boys
35,Stephen Chow
36,animation
37,beautiful
38,characters
39,Disney
40,feminist
41,Ice
42,music
43,musical
44,pacing
45,royalty
46,siblings
47,storyline
48,themes
49,unnecessary villain
50,voice acting
51,writing
52,dark comedy
53,drugs
54,Nudity (Full Frontal - Notable)
55,Nudity (Full Frontal)
56,Christopher Guest
57,comedy
58,music business
59,rock and roll
60,satire
61,witty
62,Nudity (Topless - Notable)
63,Nudity (Topless)
64,sexuality
65,teen comedy
66,Nudity (Topless)
67,sexuality
68,College Humor
69,Nudity (Topless)
70,R
71,Ryan Reynolds
72,Teen movie
73,college
74,Nudity (Topless)
75,Seann William Scott
76,Vince Vaughn
77,Will Ferrell
78,Funniest Movies
79,hilarious
80,One of the worst movies of all time
81,seen more than once
82,Steve Carell
83,Vince Vaughn
84,Will Ferrell
85,comedy
86,crude humor
87,Nudity (Topless - Notable)
88,Nudity (Topless)
89,Seth Rogen
90,sex
92,sex comedy
93,Steve Carell
94,arms dealer
95,dark comedy
96,drugs
97,Nicolas Cage
98,Nudity (Topless)
99,Below R
100,Tarantino
101,Will Ferrell
102,drugs
103,Nudity (Topless - Brief)
104,Nudity (Topless)
105,crude humor
106,Highly quotable
107,pornography
108,Teen movie
109,virginity
110,Adam Sandler
111,Below R
112,exaggerated
113,Israeli/Palestinian conflict
114,over the top
115,comedy
116,Seth Rogen
117,will ferrell
118,1960s
119,Bill Nighy
120,meandering
121,Philip Seymour Hoffman
122,pirate radio
123,rock and roll
124,soundtrack
125,mental illness
126,Zach Galifianakis
127,Adam Sandler
128,golf
129,sports
130,Arnold Schwarzenegger
131,christmas movie
132,Xmas theme(?)
133,Adam Sandler
134,American football
135,football
136,sport:American football
137,high school
138,Nudity (Topless - Notable)
139,Nudity (Topless)
140,sexuality
141,teen comedy
142,Teen movie
143,virginity
144,great ending
145,high school
146,lyrical
147,melancholy
148,psychology
149,reflective
150,suburbia
151,suicide
152,visually appealing
153,David Spade
154,fuck you it's funny
155,movie to see
156,stupid :)
157,alternate timeline
158,cult classic
159,cult film
160,high school
161,mental illness
162,music
163,psychology
164,sci-fi
165,surreal
166,thought-provoking
167,time travel
168,Adam Sandler
169,Al Sharpton
170,Winona Ryder
171,Ben Stiller
172,comedy
173,funny
174,Funny as hell
175,Idiotic
176,seen more than once
177,sports
178,Vince Vaughn
179,wasted potential
180,Ben Stiller
181,Judd Apatow movie
182,Paul Rudd
183,Seth Rogen
184,Steve Carell
185,Steve Carrell
186,avante garde
187,bittersweet
188,deadpan
189,FATHERS AND SONS
190,independent film
191,Indie
192,irreverent
193,SEXUAL AWAKENING
194,unique
195,weird
196,coming of age
197,friendship
198,tattoo
199,teenager
200,delusion
201,delusional
202,dork people
203,emotional
204,family affair
205,mental illness
206,real doll
207,small town
208,brother-brother relationship
209,ending
210,Highly quotable
211,let down
212,movie to see
213,Seth Rogen
214,will ferrell
215,Ben Stiller
216,Hollywood
217,irreverent
218,Jack Black
219,Robert Downey Jr.
220,satire
222,Tom Cruise
223,Vietnam War
224,handcam-real style
225,funny
226,parody
227,vampires
228,action
229,Criminal = good Police = bad
230,one dimensional characters except for Affleck. Ending trite.
231,too much love interest
232,Emma Stone
233,funny dialogues
234,plot
235,sexuality
236,typical
237,Unreal reactions
238,plot twist
239,documentary
240,makes you think
241,Not what was expected but still good
242,social networking
243,drug use
244,road trip
245,Robert Downey Jr.
246,Zach Galifianakis
247,boring
248,camping trip
249,emma watson
250,beautifully filmed
251,quirky
252,romance
253,stylized
254,visually appealing
255,whimsical
256,culture clash
257,heartbreaking
258,intense
259,sad but good
260,Steven Spielberg
261,time travel
262,sci-fi
263,time travel
264,time travel
265,manhattan
266,upper class
267,whit stillman meets Diner
268,actress too old
269,too upper class
270,wild and fresh
271,whit stillman meets diner
272,utterly predictable ensemble flick
273,Simon Pegg
274,Audrey Hepburn
275,black and white
276,classic
277,Gregory Peck
278,imdb top 250
279,Italy
280,love story
281,National Film Registry
282,need to own
283,romantic comedy
284,Rome
285,royalty
286,slapstick
287,zest for life
288,based on a book
289,British
290,Hugh Grant
291,Jane Austen
292,romantic comedy
293,chick flick
294,sentimental
295,Freddie Highmore
296,inspirational
297,love of music
298,power of music
299,uplifting and compelling
300,Firefly
301,scifi
302,western
303,Ethan Hunt Should Stop Hogging The Screen!
304,1970s
305,fantasy
306,sci-fi
307,Action
308,Revenge
309,Willem Dafoe
310,must show
311,must show
312,must show
313,must show
314,must show
315,twist
316,twist
317,overrated
318,violent
319,violent
320,post-apocalyptic
321,psychology
322,time travel
324,organized crime
325,twist ending
326,twists & turns
327,friendship
328,masterplan
329,Morgan Freeman
330,prison escape
331,redemption
332,revenge
333,bittersweet
334,classic
335,vietnam war
336,crime gone awry
337,black comedy
338,British
339,cold war
340,comedy
341,Peter Sellers
342,satire
343,satirical
344,Stanley Kubrick
345,British
346,John Cleese
347,quirky
348,Monty Python
349,parody
350,satire
351,atmospheric
352,post-apocalyptic
353,surreal
354,psychological
355,psychology
356,Clint Eastwood
357,Ennio Morricone
358,Italian
359,music
360,Sergio Leone
361,mystery
362,twists & turns
363,Michael Douglas
364,Mystery
365,plot twist
366,psychological
367,Sean Penn
368,twist ending
369,unrealistic
370,eugenics
371,future
372,genetic engineering
373,genetics
374,powerful ending
375,racism
376,funny
377,Jack Nicholson
378,obsessive compulsive disorder
379,psychology
380,quirky
381,relationships
382,Edward Norton
383,Neo-Nazis
384,politics
385,powerful ending
386,racism
387,tense
388,thought-provoking
389,post-apocalyptic
390,sci-fi
391,virtual reality
392,adventure
393,anime
394,fantasy world
395,surreal
396,coming of age
397,coming-of-age
398,cycling
399,classic
400,coming of age
401,friendship
402,BORING!
403,Nudity (Full Frontal)
404,pretentious
405,slow paced
406,characters
407,romance
408,adventure
409,characters
410,epic
411,fantasy world
412,fighting
413,photography
414,ending
415,lawyers
416,military court
417,multiple storylines
418,nonlinear
419,disturbing
420,drama
421,multiple storylines
422,realistic
423,action packed
424,dystopia
425,unrealistic characters
426,cliche
427,Johnny Depp
428,magic realism
